"iso","adm1","alert__year","alert__week","burn_area__ha"
"IDN",10,2002,42,555.895807217215736
"IDN",10,2002,37,81.33676140035953
"IDN",10,2018,28,122.13413456373888
"IDN",10,2004,26,2713.978582389998396
"IDN",10,2018,39,67.79198000662782
"IDN",10,2004,25,977.0821304155608
"IDN",10,2012,20,298.5802231841945
"IDN",10,2010,33,81.45898061476547
"IDN",10,2019,39,230.508579967338764
"IDN",10,2019,36,27.14166907915031
"IDN",10,2015,23,122.0611267651815
"IDN",10,2019,34,27.14335190040784
"IDN",10,2012,37,257.68753057847294
"IDN",10,2009,31,94.849870413746934
"IDN",10,2015,22,27.119033922668898
"IDN",10,2019,30,189.86340692737488
"IDN",10,2012,24,664.944257485182
"IDN",10,2005,22,1750.7053204002218
"IDN",10,2006,24,2726.028385746422741
"IDN",10,2013,31,176.4223470930375
"IDN",10,2006,26,284.98667635807607
"IDN",10,2011,22,2782.187902158073
"IDN",10,2010,32,122.187379116588
"IDN",10,2002,43,501.46209324387339
"IDN",10,2019,40,216.851213875650444
"IDN",10,2018,34,13.551406821386403
"IDN",10,2011,40,108.463997901018925
"IDN",10,2015,43,406.526731281510455
"IDN",10,2017,37,81.44008720443989
"IDN",10,2004,35,40.711750015335305
"IDN",10,2019,42,298.264788128175283
"IDN",10,2001,35,95.00889539287095
"IDN",10,2006,38,40.671432090987654
"IDN",10,2018,30,379.97191746718124
"IDN",10,2014,32,27.10689762283774
"IDN",10,2009,27,1357.194819443845
"IDN",10,2011,32,27.101787060421916
"IDN",10,2006,32,13.552123551715727
"IDN",10,2012,41,122.12957426713152
"IDN",10,2018,31,67.78601081981967
"IDN",10,2004,28,936.4428886759545
"IDN",10,2011,34,13.551406821386403
"IDN",10,2014,35,27.149000869799572
"IDN",10,2018,27,27.140731046134054
"IDN",10,2008,36,760.0052342990706
"IDN",10,2011,39,393.143940258166729
"IDN",10,2007,24,325.67461547434755
"IDN",10,2017,31,406.62061936331156
"IDN",10,2003,34,27.146603288935953
"IDN",10,2006,37,27.117249245085659
"IDN",10,2013,41,40.71297178505147
"IDN",10,2015,41,352.481889182732470
"IDN",10,2002,34,67.78959050959043
"IDN",10,2019,23,27.1451200673847
"IDN",10,2009,28,122.14396086556307
"IDN",10,2015,34,257.56565683262426
"IDN",10,2002,21,298.5689302896883
"IDN",10,2018,25,13.5518166497695
"IDN",10,2013,32,54.284180732390354
"IDN",10,2012,38,284.769132034076252
"IDN",10,2015,42,582.896641851591445
"IDN",10,2011,37,122.034019347047056
"IDN",10,2003,30,149.24680409827366
"IDN",10,2019,38,610.115936254826476
"IDN",10,2006,33,81.41358137533297
"IDN",10,2007,40,67.71392002056393
"IDN",10,2006,45,67.771181615782836
"IDN",10,2002,32,284.9560940830055
"IDN",10,2012,28,216.8784663908774
"IDN",10,2011,35,81.336761400359534
"IDN",10,2007,26,1614.831887628884978
"IDN",10,2002,33,81.407169366459863
"IDN",10,2003,22,122.14648196507488
"IDN",10,2002,41,1274.48461816185583
"IDN",10,2002,39,94.900779088310653
